,Unnamed: 0,key,PR
4014,4014,45448,0.055641132999999995
4016,4016,45494,0.04716928
4017,4017,14372,0.11369899
4023,4023,45384,0.04251359
4026,4026,14308,0.0458106
4029,4029,14388,0.047263637000000004
4030,4030,45376,0.04302013
4032,4032,14329,0.05010165
4034,4034,45402,0.045574695
4036,4036,14245,0.055196363
4038,4038,14215,0.051231578
4039,4039,94081,0.04978233
4043,4043,45400,0.04369693
4046,4046,14341,0.04260348
4048,4048,14267,0.09785688
4049,4049,45438,0.05717237
4052,4052,14357,0.046370752
4057,4057,14229,0.07476265
4059,4059,45484,0.04154857
4062,4062,14236,0.050939936
4063,4063,8575,0.040415224
4067,4067,14210,0.08159377
4070,4070,45386,0.059125084
4071,4071,14380,0.058189305999999996
4077,4077,14258,0.048672232999999995
4080,4080,14214,0.095225096
4084,4084,45428,0.047121275
4097,4097,39065,0.048966352000000005
4104,4104,65,0.041336566
4110,4110,45453,0.041824367
4113,4113,45403,0.052699674
4117,4117,45429,0.045221154000000006
4119,4119,45477,0.05562516
4128,4128,14356,0.041502845
4137,4137,94107,0.07554838
4151,4151,14358,0.04304778
4153,4153,14347,0.04086097
4154,4154,14344,0.04086097
4156,4156,14376,0.08293573
4160,4160,14275,0.04868395
4167,4167,45398,0.05024946
4169,4169,14206,0.178606
4179,4179,98378,0.07018944
4182,4182,45422,0.040833842
4193,4193,14351,0.05246073
4206,4206,94091,0.05757513
4207,4207,26,0.041892152
4209,4209,14268,0.0646488
4214,4214,45440,0.06804128
4236,4236,45465,0.08416008
4245,4245,45452,0.048317905999999994
4247,4247,14278,0.04253472
4257,4257,94112,0.06808488
4277,4277,45468,0.04831287
4280,4280,39084,0.058045313
4285,4285,45474,0.08208344
4286,4286,94093,0.047052647999999996
4290,4290,14246,0.04649595
4299,4299,94114,0.072599836
4301,4301,94105,0.07449842
4302,4302,45467,0.048079699999999996
4313,4313,14257,0.06943215
4324,4324,14401,0.041126836
4342,4342,14309,0.06809613
4347,4347,45378,0.04584634
4353,4353,94094,0.0569808
4385,4385,94099,0.049025998
4406,4406,14253,0.050591264000000004
4423,4423,45393,0.04831615
4427,4427,45483,0.05871245
4429,4429,45502,0.048699353
4440,4440,94102,0.14517297
4449,4449,94084,0.05213679400000001
4503,4503,104707,0.044908654000000006
4516,4516,94100,0.061648815999999995
4522,4522,14374,0.041419833999999996
4528,4528,94089,0.051038336
4573,4573,14377,0.09039912
4593,4593,14277,0.04166412
4602,4602,45425,0.08359053
4610,4610,14350,0.046158396
4620,4620,45409,0.041553225
4642,4642,45441,0.041696813
4663,4663,39068,0.046121523
4671,4671,45462,0.052733008
4700,4700,94087,0.056057807
4749,4749,119041,0.04086738
4761,4761,14387,0.04188654
4796,4796,94082,0.040625166000000004
4806,4806,14251,0.060296483
4815,4815,45415,0.05258774
4823,4823,45394,0.0461673
4837,4837,14305,0.040415224
4943,4943,45375,0.04938258
4952,4952,14382,0.048201345
4961,4961,94111,0.05771227599999999
4985,4985,104711,0.043703467
4995,4995,94116,0.054006368
5061,5061,45381,0.04372375
5163,5163,98287,0.06364491
5198,5198,126,0.053582045999999994
5261,5261,98296,0.04760943
5262,5262,98297,0.04799046
5299,5299,59385,0.046634097
5310,5310,59393,0.04233631
5439,5439,14396,0.06725024
5551,5551,19920,0.05513248
5552,5552,19928,0.04437169
5553,5553,19935,0.052895777000000005
5554,5554,19941,0.059331945999999997
5555,5555,98290,0.07064382
5556,5556,19956,0.05378050400000001
5557,5557,19971,0.06789406
5558,5558,19982,0.051405422
5559,5559,20002,0.041752294
5560,5560,20003,0.06445547
5562,5562,20004,0.040415224
5563,5563,20008,0.04298192
5564,5564,20010,0.040415224
5565,5565,98423,0.06686581
5566,5566,20014,0.05415428
5568,5568,20015,0.05112979
5569,5569,98332,0.102737725
5570,5570,20016,0.040415224
5571,5571,121681,0.087938935
5572,5572,20017,0.040415224
5574,5574,59361,0.06303566
5575,5575,20031,0.040415224
5576,5576,100638,0.13058583
5577,5577,20042,0.047608368
5578,5578,20047,0.05530775
5579,5579,20049,0.06686617
5580,5580,20052,0.051742457
5581,5581,20057,0.07417521
5582,5582,20058,0.040415224
5583,5583,20067,0.06635542
5584,5584,20080,0.040415224
5585,5585,100645,0.04545483
5586,5586,20088,0.05039982
5588,5588,20092,0.05523332
5589,5589,98269,0.0622261
5590,5590,20094,0.044291675
5591,5591,100654,0.041298956
5592,5592,20101,0.04432032
5593,5593,98326,0.054719985
5594,5594,20109,0.04708318400000001
5595,5595,20113,0.041386634
5597,5597,20114,0.045070805
5598,5598,20118,0.040415224
5599,5599,20119,0.040415224
5600,5600,121772,0.047729794000000006
5601,5601,20131,0.04254871
5602,5602,100657,0.06085159
5603,5603,20137,0.04347995
5604,5604,20140,0.040415224
5605,5605,20142,0.040415224
5606,5606,59343,0.061187893
5607,5607,20147,0.041810423
5608,5608,98410,0.08476682
5609,5609,20152,0.04433402
5610,5610,20156,0.041785654
5611,5611,20159,0.04179197
5612,5612,20167,0.040415224
5613,5613,98307,0.051768575
5614,5614,20169,0.0691172
5615,5615,20170,0.20821024
5617,5617,20175,0.077146634
5618,5618,98257,0.058994595
5619,5619,20182,0.08073823
5620,5620,20202,0.040415224
5621,5621,20203,0.11433045
5623,5623,20206,0.0465101
5624,5624,20210,0.04328283
5626,5626,20215,0.12466221
5627,5627,20216,0.040415224
5628,5628,20217,0.06292755
5629,5629,100668,0.09086731
5630,5630,20229,0.05647339
5631,5631,92344,0.058818478
5632,5632,121780,0.06388211
5634,5634,98295,0.050163947
5635,5635,98367,0.045462302999999996
5639,5639,121584,0.20700629
5640,5640,121611,0.06486909
5643,5643,98331,0.15665126
5644,5644,8605,0.06828703
5645,5645,19922,0.16726743
5646,5646,121752,0.04669103
5647,5647,121608,0.09322230000000001
5648,5648,121735,0.04988618
5653,5653,121731,0.052781317
5657,5657,20096,0.06787610000000001
5659,5659,98418,0.098814175
5662,5662,121555,0.07544766
5663,5663,98355,0.04509721
5664,5664,98409,0.059978622999999995
5666,5666,20100,0.08301750599999999
5668,5668,98311,0.07162712
5670,5670,20134,0.05439493
5672,5672,121579,0.057126045
5674,5674,121571,0.047560997
5677,5677,121675,0.040695105
5680,5680,121626,0.04452192
5683,5683,19953,0.050179627000000004
5685,5685,98346,0.086300895
5686,5686,121684,0.066166915
5687,5687,20165,0.065384865
5688,5688,19943,0.058078437999999996
5690,5690,98425,0.05615934
5691,5691,121590,0.06071598
5693,5693,121600,0.05112701
5696,5696,20116,0.06934489
5698,5698,92389,0.07451920000000001
5702,5702,20207,0.0447416
5706,5706,98430,0.04065751
5713,5713,121559,0.054574396
5714,5714,121660,0.072903946
5715,5715,98327,0.08224275
5720,5720,31177,0.043645765999999996
5721,5721,100652,0.15250942
5723,5723,20036,0.070691325
5725,5725,98315,0.072731145
5727,5727,20022,0.055398334
5730,5730,98344,0.113704205
5731,5731,20154,0.04649882
5732,5732,121578,0.07026227
5735,5735,98272,0.049005263
5738,5738,115749,0.046320174000000006
5740,5740,121718,0.08211589
5742,5742,98336,0.0781401
5744,5744,98382,0.058147367
5746,5746,98318,0.056780923
5748,5748,19972,0.050910942
5752,5752,20112,0.040925853
5755,5755,98395,0.090485
5759,5759,20179,0.06476407
5761,5761,121764,0.053663626
5764,5764,98264,0.046105652999999996
5765,5765,121748,0.09098391
5769,5769,121634,0.042377207
5772,5772,121592,0.067911945
5774,5774,20007,0.054838978
5776,5776,121707,0.04299902
5778,5778,100670,0.06649211
5780,5780,20184,0.08654463
5784,5784,47,0.044418085
5787,5787,19932,0.14161468
5791,5791,20011,0.06579689999999999
5794,5794,20086,0.05064086
5795,5795,20066,0.066982605
5796,5796,20085,0.06527578
5797,5797,121794,0.090927884
5799,5799,20123,0.045672286
5800,5800,20093,0.06619560000000001
5802,5802,92415,0.046592917000000005
5803,5803,19999,0.04407558
5807,5807,19968,0.08602594599999999
5810,5810,100642,0.21657372
5813,5813,20166,0.055195794000000006
5819,5819,19981,0.08791534599999999
5820,5820,121749,0.041357063
5826,5826,20070,0.057568512999999995
5828,5828,31196,0.049141526
5830,5830,38851,0.041578199999999996
5834,5834,20200,0.042526927
5838,5838,20075,0.087299086
5841,5841,98397,0.058075562000000004
5844,5844,20191,0.05787831
5847,5847,19948,0.051091243
5848,5848,100641,0.054499514000000006
5852,5852,98392,0.043402072
5855,5855,20102,0.080721065
5859,5859,98335,0.043268938
5862,5862,121793,0.042128637000000003
5866,5866,121719,0.05792592
5871,5871,121654,0.08788091
5872,5872,121778,0.061364762
5876,5876,121554,0.06270876
5877,5877,98419,0.040590793
5879,5879,98312,0.0918835
5881,5881,121598,0.07582812
5888,5888,121603,0.05891549
5889,5889,98372,0.07970623
5893,5893,20195,0.041686848
5895,5895,121569,0.046280444000000004
5896,5896,19980,0.05253596
5899,5899,98313,0.19402112
5902,5902,20034,0.06935897
5903,5903,121782,0.06518596
5904,5904,121734,0.044737272
5906,5906,20072,0.09501049
5907,5907,121640,0.051542617
5912,5912,121754,0.04349634
5920,5920,98433,0.06704169
5923,5923,20168,0.05820546
5926,5926,121697,0.049336745999999994
5928,5928,20220,0.08413166
5930,5930,128,0.044186167
5933,5933,20020,0.18398704
5935,5935,98265,0.060423143
5941,5941,92345,0.046096183
5942,5942,100659,0.09824999400000001
5943,5943,92361,0.05427957
5947,5947,92394,0.048726887
5959,5959,121582,0.043190867
5963,5963,98404,0.05124477
5964,5964,20163,0.04886250599999999
5965,5965,19939,0.051180974000000004
5967,5967,20029,0.07532315
5976,5976,100651,0.0465768
5978,5978,121575,0.042257182000000004
5981,5981,20141,0.067218594
5983,5983,121700,0.050111134
5995,5995,92342,0.066636674
5997,5997,20099,0.076419204
6006,6006,19988,0.10581874
6008,6008,92409,0.04972057
6010,6010,20201,0.042327497
6012,6012,121771,0.050852533
6016,6016,20062,0.05947075
6023,6023,20173,0.06279016
6025,6025,20073,0.045178536
6026,6026,98380,0.042933527
6027,6027,20032,0.04292603
6028,6028,19963,0.05036683
6033,6033,20069,0.043863513
6034,6034,19989,0.06347382
6038,6038,121572,0.08514238
6042,6042,100637,0.044430874
6045,6045,20133,0.059120182
6049,6049,98400,0.043171994000000005
6052,6052,121593,0.04214766
6054,6054,20143,0.042827025
6059,6059,100643,0.1300207
6061,6061,121632,0.047733665
6063,6063,121560,0.040845558
6072,6072,98294,0.06945526
6076,6076,98345,0.05161638599999999
6089,6089,64259,0.047714867
6102,6102,98286,0.05697515
