key,cited_num,pr,fi,div,dfk,exp_dfk
68496,1,0.007538184,0.00171294,0.005825244,0,1
108044,2,0.007538173,0.001862109,0.009740408,0.540024937,1.716049655
53943,7,0.007538106,0.001735493,0.011036846,0.642930962,1.902047546
55210,4,0.007537845,0.001731751,0.009330299,0.474358969,1.606983741
103310,2,0.00753776,0.001734985,0.011360849,0.671836919,1.957830395
47551,2,0.007537752,0.001718552,0.010592811,0.599012738,1.82032078
47616,3,0.007537722,0.001741347,0.011534572,0.688116101,1.989963111
76681,4,0.00753772,0.00172793,0.01210407,0.733997367,2.083392067
69866,2,0.007537657,0.001745335,0.011413749,0.678285416,1.970496252
38944,1,0.007537623,0.001762013,0.00577561,0,1
106179,2,0.007537616,0.001826332,0.010601947,0.618593752,1.856315765
113543,1,0.007537535,0.001791838,0.005745697,0,1
59607,2,0.007537524,0.001735618,0.009243526,0.465736878,1.593187742
50973,1,0.007537209,0.001740934,0.005796275,0,1
90029,4,0.00753715,0.001715667,0.012752596,0.784179782,2.190609426
32764,2,0.00753712,0.001726401,0.011153059,0.652009495,1.919393969
107091,2,0.007537111,0.001725079,0.012214261,0.742673959,2.101547459
3579,4,0.007537096,0.00172069,0.010721291,0.611549061,1.843284548
69661,4,0.007537014,0.001714291,0.013803104,0.863125469,2.370558232
45134,1,0.007536953,0.001721132,0.005815821,0,1
47254,2,0.007536941,0.00177488,0.00671176,0.152565921,1.164819245
25396,3,0.007536928,0.001708318,0.012377828,0.753128249,2.12363289
32785,1,0.007536913,0.001693691,0.005843222,0,1
69717,1,0.007536906,0.001713498,0.005823408,0,1
12859,3,0.007536896,0.001743482,0.009339061,0.477483984,1.612013444
24983,5,0.007536886,0.001730407,0.009755016,0.518807267,1.680022635
60178,1,0.007536835,0.001729235,0.0058076,0,1
103097,3,0.007536829,0.00172141,0.009524275,0.49333101,1.637762548
111760,1,0.00753681,0.001768037,0.005768773,0,1
25623,5,0.007536792,0.001716421,0.011610398,0.690537052,1.99478655
83361,2,0.007536747,0.001705118,0.010722209,0.609020848,1.838630219
54202,4,0.007536745,0.001736289,0.009407586,0.483579865,1.621870098
99185,2,0.007536702,0.001745433,0.011203155,0.659844003,1.934490536
45146,5,0.007536693,0.001698443,0.010669648,0.602972026,1.82754224
120717,1,0.007536681,0.001717129,0.005819552,0,1
54189,1,0.007536655,0.001709968,0.005826687,0,1
17407,3,0.007536646,0.001744322,0.010446915,0.589773087,1.803579114
13149,1,0.007536632,0.001692556,0.005844076,0,1
47549,1,0.007536597,0.001734865,0.005801732,0,1
88713,1,0.007536592,0.00172401,0.005812582,0,1
55735,1,0.007536583,0.001718318,0.005818265,0,1
94940,1,0.007536559,0.001730036,0.005806523,0,1
116386,3,0.007536531,0.001745948,0.010711693,0.61510296,1.849847051
87871,1,0.00753653,0.00174837,0.00578816,0,1
12245,1,0.007536517,0.00177379,0.005762727,0,1
63934,5,0.007536487,0.001738344,0.00924886,0.466962573,1.595141702
60163,2,0.007536478,0.001725495,0.013470174,0.840728148,2.318054249
13371,2,0.007536455,0.001713916,0.011199992,0.654176654,1.923558111
27221,1,0.007536452,0.001725561,0.005810891,0,1
19004,1,0.007536439,0.001719703,0.005816736,0,1
120680,1,0.007536427,0.001730548,0.005805879,0,1
56786,2,0.00753642,0.001742936,0.006203237,0.068337369,1.070726477
104367,1,0.007536397,0.001736602,0.005799795,0,1
26901,3,0.007536391,0.001727013,0.011668902,0.697453829,2.008631871
3376,2,0.007536359,0.001694132,0.006635161,0.127270853,1.13572459
72279,2,0.007536351,0.001721637,0.012465897,0.762605097,2.143853899
31918,2,0.007536342,0.001721385,0.010357817,0.577308104,1.781237065
30192,3,0.007536325,0.001708098,0.011803775,0.705706529,2.025277097
32687,2,0.007536295,0.00169272,0.010188069,0.555874537,1.743465043
47945,2,0.007536291,0.001724225,0.009534986,0.495031708,1.640550256
64224,1,0.00753627,0.001669136,0.005867134,0,1
100992,2,0.007536269,0.001717948,0.012402946,0.756922324,2.131705416
18336,1,0.007536263,0.001703119,0.005833144,0,1
47628,1,0.00753626,0.001743163,0.005793097,0,1
9,3,0.007536251,0.001672683,0.012899604,0.788438359,2.199958198
118589,1,0.007536242,0.001677347,0.005858895,0,1
40914,1,0.007536197,0.001708793,0.005827404,0,1
6064,1,0.007536185,0.001735177,0.005801008,0,1
31919,7,0.007536176,0.001722456,0.012867278,0.794466848,2.213260677
